CountryOrTerritory,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Municipality,Pollutant,AggregationType,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
France,2019,2020-11-21T23:14:17.13Z,STA-FR01014,SPO-FR01014_5,48.914999999999999,6.0583359999999997,Nancy,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.5913242,100,97.5913242,17.646683
France,2019,2020-11-21T23:14:17.13Z,STA-FR04002,SPO-FR04002_5,48.929719999999989,2.2947220000000002,Arrondissement de Nanterre,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.05479452,100,97.05479452,19.901411
France,2019,2020-11-21T23:14:17.13Z,STA-FR04131,SPO-FR04131_5,48.873333000000002,2.3302779999999998,Paris,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.14611872,100,97.14611872,27.684829
France,2019,2020-11-21T23:14:17.13Z,STA-FR27008,SPO-FR27008_5,45.353269999999995,4.8048469999999996,Vienne,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,91.73515982,100,91.73515982,15.856383
France,2019,2020-11-21T23:14:17.13Z,STA-FR09017,SPO-FR09017_5,45.694724999999998,-0.32336100000000001,Cognac,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Not valid,Verified,43.86986301,100,43.86986301,17.265079
France,2019,2020-11-21T23:14:17.13Z,STA-FR01016,SPO-FR01016_5,48.886386999999992,6.0936110000000001,Nancy,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Not valid,Verified,61.38127854,100,61.38127854,17.917816
France,2019,2020-11-21T23:14:17.13Z,STA-FR08617,SPO-FR08617_5,43.925391999999995,4.2658139999999998,NÃ®mes,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.55707763,100,97.55707763,16.994921
France,2019,2020-11-21T23:14:17.13Z,STA-FR10016,SPO-FR10016_5,50.947290000000002,1.8430800000000001,Calais,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.83333333,100,95.83333333,22.898213
France,2019,2020-11-21T23:14:17.13Z,STA-FR10017,SPO-FR10017_5,51.032760000000003,2.3323580000000002,Saint-Pol-sur-Mer,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,92.85388128,100,92.85388128,22.746963
France,2019,2020-11-21T23:14:17.13Z,STA-FR22019,SPO-FR22019_5,49.220363999999996,6.925832999999999,Forbach-Boulay-Moselle,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.39041096,100,98.39041096,15.840909
France,2019,2020-11-21T23:14:17.13Z,STA-FR23177,SPO-FR23177_5,47.787730000000003,-0.44404399999999999,ChÃ¢teau-Gontier,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.06621005,100,97.06621005,15.318863
France,2019,2020-11-21T23:14:17.13Z,STA-FR31003,SPO-FR31003_5,44.849724000000009,-0.54388899999999996,Bordeaux,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.48173516,100,98.48173516,16.806595
France,2019,2020-11-21T23:14:17.13Z,STA-FR34028,SPO-FR34028_5,47.394640000000003,0.70487299999999997,Tours,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.19634703,100,98.19634703,17.299744
France,2019,2020-11-21T23:14:17.13Z,STA-FR35007,SPO-FR35007_5,45.86999500000001,1.3100000000000001,Limoges,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,94.74885845,100,94.74885845,11.372722
France,2019,2020-11-21T23:14:17.13Z,STA-FR37010,SPO-FR37010_5,15.994348999999993,-61.727202999999996,Basse-Terre,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,92.06621005,100,92.06621005,26.430055
France,2019,2020-11-21T23:14:17.13Z,STA-FR04158,SPO-FR04158_5,49.063086999999989,1.8663809999999998,Pontoise,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.35388128,100,95.35388128,14.591033
France,2019,2020-11-21T23:14:17.13Z,STA-FR07022,SPO-FR07022_5,46.652667999999998,3.6006670000000001,Moulins,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.44520548,100,95.44520548,10.61373
France,2019,2020-11-21T23:14:17.13Z,STA-FR07058,SPO-FR07058_5,46.34071999999999,2.5939450000000006,MontluÃ§on,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,99.34931507,100,99.34931507,12.006825
France,2019,2020-11-21T23:14:17.13Z,STA-FR12030,SPO-FR12030_5,43.587219999999995,1.443889,Toulouse,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,97.19178082,100,97.19178082,14.289934
France,2019,2020-11-21T23:14:17.13Z,STA-FR12054,SPO-FR12054_5,43.64305499999999,1.4676499999999999,Toulouse,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.04794521,100,98.04794521,20.616253
France,2019,2020-11-21T23:14:17.13Z,STA-FR14010,SPO-FR14010_5,49.282220000000002,4.0511109999999997,Reims,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.26712329,100,96.26712329,17.808964
France,2019,2020-11-21T23:14:17.13Z,STA-FR23120,SPO-FR23120_5,47.468513000000002,-0.55605300000000002,Angers,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.45890411,100,98.45890411,15.761889
